victim_id,name,age,gender,address,district,socio_economic_status
VIC-2024-KA-0026,Ikbal Chanda,62,Other,"H.No. 897, Sule Marg, Pune-407340",Shivamogga,Lower Class
VIC-2024-KA-0027,Falak Shankar,57,Other,"H.No. 992, Oza Circle, Ballia-062608",Chikkamagaluru,Lower Class
VIC-2024-KA-0028,Anay Acharya,20,Male,"48/311, Prashad Street, Dehri 889885",Belagavi,Upper Middle Class
VIC-2024-KA-0029,Tanvi Loyal,72,Other,"H.No. 527, Narain Circle, Bhiwani 894888",Hassan,Lower Class
VIC-2024-KA-0030,Jasmit Krishna,84,Female,"H.No. 296, Apte Circle, Gandhinagar-337932",Chikkamagaluru,Lower Class
VIC-2024-KA-0031,Devansh Batra,27,Male,"53/74, Sodhi Marg, Raiganj-966757",Tumakuru,Lower Class
VIC-2024-KA-0032,Pushti Brahmbhatt,56,Male,"80/36, Nadkarni Zila, Bhopal 354886",Kalaburagi,Lower Class
VIC-2024-KA-0033,Daniel Rau,25,Male,"443, Ray Road, Miryalaguda-254771",Davangere,Middle Class
VIC-2024-KA-0034,Praneel Kade,28,Female,"H.No. 783, Srivastava Zila, Karaikudi 883382",Belagavi,Middle Class
VIC-2024-KA-0035,Zansi Bhavsar,8,Male,"H.No. 57, Sachar, Dindigul 811940",Bengaluru Rural,Middle Class
VIC-2024-KA-0036,Ekaraj Narayanan,70,Other,"58/121, Krishnan Zila, Tadepalligudem-212225",Shivamogga,Upper Middle Class
VIC-2024-KA-0037,Aarnav Sridhar,26,Female,"H.No. 303, Nagi Street, Anand 930242",Davangere,Lower Class
VIC-2024-KA-0038,Oscar Balakrishnan,21,Female,"H.No. 500, Mital Nagar, Durg-794967",Hubballi-Dharwad,Lower Class
VIC-2024-KA-0039,Azad Ramaswamy,78,Male,"88/281, Saini Path, Lucknow 311234",Shivamogga,Middle Class
VIC-2024-KA-0040,Reva Das,41,Male,"109, Rao Chowk, Tirupati 908683",Chikkamagaluru,Upper Middle Class
VIC-2024-KA-0041,Farhan Khurana,11,Other,"659, Kari Marg, Gurgaon 166918",Bengaluru Urban,Lower Class
VIC-2024-KA-0042,Zinal Ramesh,45,Female,"H.No. 328, Madan Ganj, Kolkata-376515",Vijayapura,Upper Middle Class
VIC-2024-KA-0043,Tanmayi Dhillon,47,Female,"68/217, Behl, Khammam-398874",Hubballi-Dharwad,Lower Class
VIC-2024-KA-0044,Janaki Khosla,64,Female,"81/859, Sur Circle, Khora  467685",Davangere,Lower Class
VIC-2024-KA-0045,Qushi Sem,45,Other,"245, Rau Zila, Phusro-957081",Belagavi,Lower Class
VIC-2024-KA-0046,Nihal Date,61,Other,"H.No. 44, Dube, Anantapur-492576",Ballari,Lower Class
VIC-2024-KA-0047,Yoshita Wali,38,Female,"10/888, Bhattacharyya Street, Unnao 271727",Kalaburagi,Upper Middle Class
VIC-2024-KA-0048,Arjun Dey,64,Male,"H.No. 651, Lal Ganj, Hospet-076276",Mysuru,Lower Class
VIC-2024-KA-0049,Rishi Palla,50,Other,"75/965, Taneja Ganj, Loni 385504",Bengaluru Urban,Lower Class
VIC-2024-KA-0050,Krisha Seshadri,75,Male,"H.No. 84, Kala Road, Gorakhpur-878356",Shivamogga,Lower Class
VIC-2024-KA-0051,Viraj Gokhale,57,Male,"46, Comar Chowk, Baranagar 995113",Tumakuru,Upper Middle Class
VIC-2024-KA-0052,Wridesh Das,29,Male,"82, Varghese Marg, Morena 851838",Bengaluru Urban,Lower Class
VIC-2024-KA-0053,Damyanti Basak,18,Other,"79, Edwin Path, Kota 789717",Kalaburagi,Middle Class
VIC-2024-KA-0054,Imaran Mann,84,Other,"H.No. 15, Chatterjee Circle, Miryalaguda 892719",Mysuru,Upper Middle Class
VIC-2024-KA-0055,Deepa Bhat,24,Male,"506, Pal Circle, Purnia-225357",Tumakuru,Middle Class
VIC-2024-KA-0056,Kavya Khatri,11,Male,"H.No. 76, Contractor Circle, Bhatpara-718322",Bengaluru Urban,Upper Middle Class
VIC-2024-KA-0057,Teerth Pingle,74,Male,"560, Sanghvi Circle, Shimoga 203542",Chikkamagaluru,Middle Class
VIC-2024-KA-0058,Zayan Sarna,74,Male,"36/271, Ratta Ganj, Ghaziabad 356832",Bengaluru Rural,Lower Class
VIC-2024-KA-0059,Rayaan Dey,54,Other,"027, Sha Zila, Bhind 276391",Belagavi,Lower Class
VIC-2024-KA-0060,Geetika Deo,28,Female,"347, Rajan Road, Kalyan-Dombivli 395984",Chikkamagaluru,Upper Middle Class
VIC-2024-KA-0061,Owen Ben,69,Other,"69, Kumer Street, Mango 140245",Kalaburagi,Middle Class
VIC-2024-KA-0062,Triveni Chacko,73,Female,"92/083, Seth Zila, Panihati-333128",Bengaluru Urban,Upper Middle Class
VIC-2024-KA-0063,Unni Brahmbhatt,28,Other,"82/159, Bahl Ganj, Bhind 391026",Hassan,Lower Class
VIC-2024-KA-0064,Jack Bora,38,Other,"64, Patla Street, Nashik-991716",Vijayapura,Upper Middle Class
VIC-2024-KA-0065,Imaran Chahal,5,Male,"71/50, Gill Street, Panihati-196918",Hubballi-Dharwad,Middle Class
VIC-2024-KA-0066,Chandran Khatri,71,Female,"085, Sani Nagar, Etawah-940169",Kalaburagi,Middle Class
VIC-2024-KA-0067,Aarav Puri,44,Other,"H.No. 874, Sami Path, Siwan 067201",Ballari,Middle Class
VIC-2024-KA-0068,Yachana Goswami,82,Female,"914, Dara Road, Avadi-269557",Tumakuru,Lower Class
VIC-2024-KA-0069,Vidhi Sane,39,Male,"H.No. 99, Khanna Chowk, Silchar-104830",Hassan,Upper Middle Class
VIC-2024-KA-0070,Neel Parsa,33,Other,"H.No. 11, Oza Nagar, Jammu 862577",Hassan,Upper Middle Class
VIC-2024-KA-0071,Peter Chandran,19,Female,"H.No. 226, Narayan Ganj, Srinagar 044462",Vijayapura,Middle Class
VIC-2024-KA-0072,Jatin Chaudhary,6,Female,"29/176, Devan Road, Karnal-279744",Kalaburagi,Middle Class
VIC-2024-KA-0073,Radhika Parmar,46,Female,"H.No. 73, Devi, Anantapur-769787",Chikkamagaluru,Upper Middle Class
VIC-2024-KA-0074,Vinaya Krishnan,23,Female,"H.No. 43, Ravel Ganj, Miryalaguda-980231",Bengaluru Rural,Lower Class
VIC-2024-KA-0075,Saumya Khanna,80,Female,"26/49, Wali Circle, Siwan 859352",Davangere,Upper Middle Class
VIC-2024-KA-0076,Garima Rattan,80,Female,"71/90, Prakash Circle, Bhavnagar 791119",Vijayapura,Lower Class
VIC-2024-KA-0077,Zayan Lal,26,Female,"756, Parekh Nagar, Bellary 557486",Kalaburagi,Middle Class
VIC-2024-KA-0078,Frado Tank,15,Female,"82/956, Balakrishnan Path, Mumbai-104423",Bengaluru Rural,Middle Class
VIC-2024-KA-0079,Madhavi Goda,5,Male,"H.No. 54, More, Singrauli-180887",Chikkamagaluru,Upper Middle Class
VIC-2024-KA-0080,Vasudha Bhalla,72,Male,"41/42, Sathe Ganj, Nagpur-837603",Kalaburagi,Middle Class
VIC-2024-KA-0081,Lipika Ravi,37,Female,"H.No. 345, Seth Nagar, Secunderabad 748394",Tumakuru,Lower Class
VIC-2024-KA-0082,Balvan Wagle,35,Other,"95/64, Kibe Nagar, Raipur 736793",Belagavi,Middle Class
VIC-2024-KA-0083,Nidra Chaudhuri,50,Male,"84, Brahmbhatt, Ludhiana 674535",Davangere,Middle Class
VIC-2024-KA-0084,Qasim Mahal,62,Other,"H.No. 293, Chaudry Street, Amritsar 937396",Hubballi-Dharwad,Lower Class
VIC-2024-KA-0085,Odika Chakraborty,57,Other,"H.No. 136, Chokshi Ganj, Thoothukudi 984040",Vijayapura,Lower Class
VIC-2024-KA-0086,Peter D’Alia,52,Male,"H.No. 750, Sachdeva Path, Nanded-668253",Ballari,Lower Class
VIC-2024-KA-0087,Irya D’Alia,14,Female,"H.No. 32, Rama Chowk, Muzaffarnagar-925271",Hubballi-Dharwad,Upper Middle Class
VIC-2024-KA-0088,Victor Mody,11,Other,"H.No. 077, Puri Marg, Anand-580342",Kalaburagi,Middle Class
VIC-2024-KA-0089,Xavier Radhakrishnan,38,Female,"02, Som Nagar, Danapur-867935",Chikkamagaluru,Upper Middle Class
VIC-2024-KA-0090,Hamsini Mallick,10,Male,"H.No. 83, Ratti Chowk, Saharsa-301612",Hubballi-Dharwad,Lower Class
VIC-2024-KA-0091,Patrick Dutta,50,Male,"24, Lall Street, Salem-854283",Kalaburagi,Upper Middle Class
VIC-2024-KA-0092,Deepa Arya,82,Female,"182, Chada Path, Kulti 665743",Ballari,Upper Middle Class
VIC-2024-KA-0093,Adweta Bumb,47,Male,"720, Chaudhari Chowk, Proddatur-047761",Davangere,Lower Class
VIC-2024-KA-0094,Jonathan Sundaram,82,Other,"78, Thaman Street, Sambhal-603881",Bengaluru Urban,Lower Class
VIC-2024-KA-0095,Radhika Chaudry,60,Male,"H.No. 125, Saha, Kirari Suleman Nagar-428759",Kalaburagi,Lower Class
VIC-2024-KA-0096,Azaan Chokshi,17,Male,"H.No. 393, Patla Circle, Erode-756761",Mysuru,Upper Middle Class
VIC-2024-KA-0097,Tristan Sharaf,9,Other,"H.No. 477, Narasimhan Chowk, Tirunelveli 398884",Ballari,Middle Class
VIC-2024-KA-0098,Yauvani Rout,40,Other,"H.No. 494, Rege, Aurangabad-510946",Bengaluru Urban,Middle Class
VIC-2024-KA-0099,Baghyawati Bhattacharyya,37,Other,"H.No. 16, Narang Circle, Kanpur 283729",Kalaburagi,Lower Class
VIC-2024-KA-0100,Aachal Soman,43,Other,"01, Venkatesh Path, Ratlam 533533",Davangere,Middle Class
VIC-2024-KA-0101,Tamanna Divan,36,Other,"H.No. 93, Bandi, Narasaraopet-575322",Hubballi-Dharwad,Lower Class
VIC-2024-KA-0102,Lila Shan,40,Other,"571, Khalsa Street, Jamnagar-256036",Bengaluru Urban,Lower Class
VIC-2024-KA-0103,Harshil Chaudhry,64,Female,"H.No. 085, Nagy, Kollam-921467",Tumakuru,Middle Class
VIC-2024-KA-0104,Pranav Venkataraman,58,Male,"62/659, Narang Path, Thoothukudi-657448",Bengaluru Rural,Upper Middle Class
VIC-2024-KA-0105,Yamini Mane,56,Other,"H.No. 016, Vasa Chowk, Nangloi Jat-861807",Mysuru,Upper Middle Class
VIC-2024-KA-0106,Sachi Trivedi,22,Male,"83, Minhas Path, Jamalpur-574961",Chikkamagaluru,Upper Middle Class
VIC-2024-KA-0107,Umang Shan,36,Female,"H.No. 496, Prashad Street, Phagwara-435416",Belagavi,Middle Class
VIC-2024-KA-0108,Indrajit Sandal,50,Female,"00, Savant Nagar, Tirunelveli 229663",Mysuru,Lower Class
VIC-2024-KA-0109,Dipta Mangal,76,Male,"H.No. 42, Choudhry Road, Hubli–Dharwad-566866",Mangaluru,Middle Class
VIC-2024-KA-0110,Zehaan Parmar,62,Male,"H.No. 638, Magar Chowk, Noida-314916",Hassan,Upper Middle Class
VIC-2024-KA-0111,Mitesh Vaidya,56,Male,"84/603, Lalla, Rajkot 872565",Vijayapura,Lower Class
VIC-2024-KA-0112,Ranveer Ramaswamy,12,Female,"H.No. 38, Lalla Path, Amravati 088254",Bengaluru Urban,Middle Class
VIC-2024-KA-0113,Baghyawati Nath,47,Female,"414, Basu Chowk, Bhiwandi 175243",Davangere,Upper Middle Class
VIC-2024-KA-0114,Arya Rajan,46,Female,"84, Pandya Circle, Chittoor 096169",Belagavi,Lower Class
VIC-2024-KA-0115,Yashica Arora,31,Male,"76/625, Vyas Path, Hajipur-491207",Mangaluru,Lower Class
VIC-2024-KA-0116,Wakeeta Khosla,11,Male,"12/45, Mutti Zila, Satna-772096",Hubballi-Dharwad,Lower Class
VIC-2024-KA-0117,Triya Gole,37,Other,"H.No. 071, Madan Zila, Rampur-763377",Bengaluru Rural,Lower Class
VIC-2024-KA-0118,Umang Balasubramanian,66,Other,"H.No. 823, Bal Nagar, Bilaspur 275465",Mysuru,Middle Class
VIC-2024-KA-0119,Hitesh Oak,25,Male,"60/01, Joshi Circle, Madanapalle-175562",Chikkamagaluru,Upper Middle Class
VIC-2024-KA-0120,Frederick Brahmbhatt,41,Female,"357, Shenoy Street, Imphal-530333",Tumakuru,Lower Class
VIC-2024-KA-0121,Darpan Lal,64,Male,"980, Randhawa Marg, Bidar-558700",Belagavi,Upper Middle Class
VIC-2024-KA-0122,Janaki Peri,39,Female,"H.No. 825, Bhargava Circle, Ambala-394376",Chikkamagaluru,Lower Class
VIC-2024-KA-0123,Quincy Swamy,39,Female,"07/04, Banik Circle, Kakinada 401367",Hubballi-Dharwad,Middle Class
VIC-2024-KA-0124,Ekaja Gara,26,Other,"59/99, Naik Ganj, Narasaraopet 956256",Bengaluru Rural,Upper Middle Class
VIC-2024-KA-0125,Simon Sehgal,65,Other,"23/53, Dara Circle, Sonipat-924424",Hassan,Middle Class
VIC-2024-KA-0126,Oliver Bhattacharyya,28,Other,"967, Sachar Ganj, Bulandshahr-646600",Mysuru,Lower Class
VIC-2024-KA-0127,Aditya Chawla,64,Other,"48/36, Sinha Marg, Tumkur 234917",Davangere,Upper Middle Class
VIC-2024-KA-0128,Zehaan Apte,17,Male,"12/06, Rama Street, Mysore 778233",Davangere,Lower Class
VIC-2024-KA-0129,Azad Oza,68,Female,"07, Loke, Kolhapur-527804",Bengaluru Rural,Middle Class
VIC-2024-KA-0130,Anthony Chacko,82,Other,"H.No. 20, Munshi, Indore 505868",Tumakuru,Middle Class
VIC-2024-KA-0131,Ubika Gala,63,Male,"86, Dyal Path, Asansol 453944",Vijayapura,Lower Class
VIC-2024-KA-0132,Benjamin Kulkarni,84,Other,"04/98, More Ganj, Amravati 638588",Kalaburagi,Upper Middle Class
VIC-2024-KA-0133,Advika Vaidya,21,Female,"H.No. 688, Dar Marg, Anantapuram 298269",Kalaburagi,Upper Middle Class
VIC-2024-KA-0134,Tamanna Master,48,Female,"H.No. 90, Narain Road, Bhatpara-478389",Ballari,Lower Class
VIC-2024-KA-0135,Ekanta Walla,58,Male,"46/290, Vaidya Zila, Rourkela-634530",Kalaburagi,Middle Class
VIC-2024-KA-0136,Quincy Patil,84,Other,"H.No. 02, Deshmukh Zila, Hapur 131308",Bengaluru Rural,Upper Middle Class
VIC-2024-KA-0137,Netra Luthra,74,Other,"H.No. 693, Kaur Ganj, Junagadh 014059",Mangaluru,Lower Class
VIC-2024-KA-0138,Eiravati Dubey,23,Male,"96/01, Shenoy Nagar, Junagadh 261572",Bengaluru Urban,Upper Middle Class
VIC-2024-KA-0139,Jeevika Mangal,75,Female,"32/172, Tara Chowk, Pondicherry-913013",Shivamogga,Upper Middle Class
VIC-2024-KA-0140,Yachana Acharya,77,Other,"639, Tak Street, Durg-701325",Bengaluru Urban,Upper Middle Class
VIC-2024-KA-0141,Xalak Naik,69,Male,"63/18, Grover, Bharatpur-351294",Hassan,Upper Middle Class
VIC-2024-KA-0142,Vrishti Subramanian,76,Female,"H.No. 775, Korpal Nagar, Tadipatri-237779",Ballari,Upper Middle Class
VIC-2024-KA-0143,Manan Gole,36,Other,"24/482, Borah Road, Bhiwani 491151",Shivamogga,Middle Class
VIC-2024-KA-0144,Kashish Sawhney,22,Male,"48/949, Dhingra Ganj, Jodhpur-238164",Chikkamagaluru,Lower Class
VIC-2024-KA-0145,Chandran Brar,50,Other,"990, Venkatesh Street, Berhampur-871880",Mysuru,Middle Class
VIC-2024-KA-0146,Nisha Anand,43,Female,"29/70, Shah Circle, Shimla-884552",Mangaluru,Lower Class
VIC-2024-KA-0147,Nathan Shroff,67,Other,"601, Rege Path, Ichalkaranji-711368",Hubballi-Dharwad,Upper Middle Class
VIC-2024-KA-0148,Abha Mitter,23,Male,"50/618, Yogi Zila, Mango 073473",Mysuru,Middle Class
VIC-2024-KA-0149,Bishakha Radhakrishnan,51,Female,"57/04, Varghese Road, Kottayam 242126",Tumakuru,Lower Class
VIC-2024-KA-0150,Harsh Dugar,53,Female,"71/26, Wagle Chowk, Bhilai-568258",Hubballi-Dharwad,Middle Class
VIC-2024-KA-0151,Ansh Khurana,52,Male,"89/922, Dass Circle, Hyderabad 937046",Davangere,Middle Class
VIC-2024-KA-0152,Pratyush Thakur,17,Male,"H.No. 27, Bhavsar Road, Amroha 521830",Shivamogga,Middle Class
VIC-2024-KA-0153,Caleb Jayaraman,18,Other,"003, Khurana Marg, Alappuzha-092717",Bengaluru Rural,Middle Class
VIC-2024-KA-0154,Max Raval,46,Female,"93/465, Bala Zila, Ratlam-147692",Hassan,Middle Class
VIC-2024-KA-0155,Vanya Shah,58,Other,"049, Ravel Ganj, Ghaziabad 700228",Ballari,Middle Class
VIC-2024-KA-0156,Wahab Mukhopadhyay,36,Female,"H.No. 057, Dayal Path, Patiala-558004",Tumakuru,Lower Class
VIC-2024-KA-0157,Anthony Rana,49,Male,"H.No. 777, Naik Chowk, Sambhal 057882",Hubballi-Dharwad,Middle Class
VIC-2024-KA-0158,Kai Narula,62,Other,"05, Konda Marg, Bilaspur-818256",Ballari,Middle Class
VIC-2024-KA-0159,Aahana Singh,54,Other,"299, Peri Marg, Aurangabad 431323",Bengaluru Urban,Lower Class
VIC-2024-KA-0160,Xiti Mital,63,Male,"16/229, Sem Road, Begusarai-242386",Bengaluru Urban,Middle Class
VIC-2024-KA-0161,Guneet Deep,14,Male,"15, Sarkar Zila, Salem 037593",Bengaluru Rural,Middle Class
VIC-2024-KA-0162,Qabil Chahal,79,Female,"29/64, Rao Marg, Proddatur-507564",Tumakuru,Lower Class
VIC-2024-KA-0163,Yashvi Bera,14,Female,"H.No. 505, Choudhry Nagar, Bharatpur-076527",Mangaluru,Upper Middle Class
VIC-2024-KA-0164,Ridhi Seshadri,30,Other,"656, Walla, Pali-184860",Shivamogga,Upper Middle Class
VIC-2024-KA-0165,Tanvi Ganguly,40,Male,"67, Amble Road, Adoni-692984",Shivamogga,Lower Class
VIC-2024-KA-0166,Kavya Raju,68,Male,"H.No. 88, Dhawan Road, Morbi-232840",Ballari,Middle Class
VIC-2024-KA-0167,Zarna Gulati,41,Female,"109, Bath Chowk, Uluberia-398352",Tumakuru,Upper Middle Class
VIC-2024-KA-0168,Chameli Kurian,35,Other,"625, Mandal Circle, Purnia 709455",Bengaluru Urban,Upper Middle Class
VIC-2024-KA-0169,Falan Vig,7,Other,"70/41, Sawhney Chowk, Sri Ganganagar-951168",Ballari,Lower Class
VIC-2024-KA-0170,Yashvi Sen,70,Female,"H.No. 222, Sachdev Chowk, Coimbatore 519108",Chikkamagaluru,Upper Middle Class
VIC-2024-KA-0171,Osha Hari,79,Male,"94/334, Lad Circle, Hyderabad-900071",Tumakuru,Lower Class
VIC-2024-KA-0172,Zarna Cheema,58,Male,"H.No. 60, Bhardwaj Chowk, Proddatur 953335",Bengaluru Rural,Lower Class
VIC-2024-KA-0173,Faraj Chaudhry,70,Male,"H.No. 74, Gulati Road, Tezpur 546443",Mysuru,Middle Class
VIC-2024-KA-0174,Dayita Sur,15,Male,"038, Nayar Street, Surat 705670",Tumakuru,Middle Class
VIC-2024-KA-0175,Januja Bakshi,77,Other,"35, Ahuja Ganj, Singrauli 231930",Hassan,Middle Class
VIC-2024-KA-0176,Mason Divan,62,Male,"99/983, Chahal Nagar, Haridwar 799634",Bengaluru Rural,Lower Class
VIC-2024-KA-0177,Bhavini Rau,30,Female,"26/899, Singhal Chowk, Mathura 370875",Shivamogga,Lower Class
VIC-2024-KA-0178,Shaurya Kota,12,Other,"97/51, Jhaveri Marg, Amritsar-887165",Mangaluru,Upper Middle Class
VIC-2024-KA-0179,Manan Salvi,18,Other,"624, Balay Path, Tirupati-963778",Hassan,Upper Middle Class
VIC-2024-KA-0180,Kritika Vyas,77,Male,"78/454, Bora Marg, Proddatur 347468",Bengaluru Urban,Upper Middle Class
VIC-2024-KA-0181,Samuel Gole,26,Male,"78/434, Rana Marg, Bhilai 940442",Hassan,Upper Middle Class
VIC-2024-KA-0182,Eesha Gulati,61,Other,"38/67, Bali Circle, Karawal Nagar-546424",Chikkamagaluru,Middle Class
VIC-2024-KA-0183,Oliver Grover,60,Female,"70/436, Kulkarni Ganj, Karawal Nagar 413615",Hubballi-Dharwad,Middle Class
VIC-2024-KA-0184,Avni Chawla,74,Other,"876, Gopal Chowk, Chandrapur-510889",Mysuru,Lower Class
VIC-2024-KA-0185,Farhan Gupta,28,Female,"H.No. 35, Kapoor Nagar, Mehsana-470932",Shivamogga,Lower Class
VIC-2024-KA-0186,Anmol Karan,76,Male,"442, Thakur Street, Ratlam-680724",Belagavi,Middle Class
VIC-2024-KA-0187,Vamakshi Kohli,10,Male,"65/196, Bava Chowk, Bhind 963428",Hassan,Middle Class
VIC-2024-KA-0188,Wriddhish Rege,62,Other,"H.No. 18, Bal, Karawal Nagar-732439",Hassan,Middle Class
VIC-2024-KA-0189,Gautam Kashyap,31,Other,"37, Roy Nagar, Vasai-Virar 706896",Tumakuru,Middle Class
VIC-2024-KA-0190,Eiravati Rama,20,Other,"H.No. 497, Shanker Zila, Hindupur 544010",Tumakuru,Middle Class
VIC-2024-KA-0191,Chanchal Ravi,5,Female,"H.No. 472, Lad, Bhiwani-026753",Hubballi-Dharwad,Lower Class
VIC-2024-KA-0192,Ganga Naik,42,Other,"66/73, Nori Road, Bidhannagar 073366",Mysuru,Upper Middle Class
VIC-2024-KA-0193,Patrick Gala,23,Female,"17/31, Kunda, Jabalpur 251904",Chikkamagaluru,Upper Middle Class
VIC-2024-KA-0194,Jacob Khalsa,46,Male,"H.No. 89, Chandra, Akola-856161",Shivamogga,Middle Class
VIC-2024-KA-0195,Kamya D’Alia,18,Male,"02, Koshy, Madanapalle-156467",Hassan,Middle Class
VIC-2024-KA-0196,Darsh Bhatti,9,Other,"40/70, Seshadri Road, Hospet-102769",Hassan,Lower Class
VIC-2024-KA-0197,Tripti Brar,59,Male,"85/76, Saxena Marg, Saharsa 963265",Mangaluru,Lower Class
VIC-2024-KA-0198,Yahvi Reddy,9,Female,"H.No. 982, Garde Marg, Kakinada 651491",Ballari,Upper Middle Class
VIC-2024-KA-0199,Nandini Sekhon,48,Other,"10, Shetty, Nadiad 644978",Vijayapura,Lower Class
VIC-2024-KA-0200,Vinaya Mittal,78,Other,"H.No. 83, Suri Road, North Dumdum 599526",Ballari,Middle Class
VIC-2024-KA-0201,Samaksh Viswanathan,60,Male,"H.No. 079, Saxena Chowk, Durg-966416",Ballari,Middle Class
VIC-2024-KA-0202,Manbir Walla,12,Other,"16, Mand, Medininagar 343441",Bengaluru Rural,Upper Middle Class
VIC-2024-KA-0203,Utkarsh Mittal,65,Female,"50, Dash Marg, Alappuzha-998409",Hassan,Upper Middle Class
VIC-2024-KA-0204,Bhavani Muni,38,Male,"719, Chad Zila, Davanagere-448539",Hubballi-Dharwad,Upper Middle Class
VIC-2024-KA-0205,Tanish Lad,81,Male,"H.No. 669, Devi Nagar, Udaipur 120220",Mangaluru,Middle Class
VIC-2024-KA-0206,Ganga Thakkar,80,Female,"63, Saran, Bellary 589216",Mysuru,Middle Class
VIC-2024-KA-0207,Isha Balan,82,Female,"76/180, Dhawan Nagar, Rajpur Sonarpur-191515",Belagavi,Middle Class
VIC-2024-KA-0208,Chakradev Bora,62,Male,"31/83, Mohanty Path, Phagwara-967584",Davangere,Lower Class
VIC-2024-KA-0209,Bhavini Menon,14,Female,"37/993, Doshi Road, Bilaspur 256423",Ballari,Lower Class
VIC-2024-KA-0210,Zinal Natt,73,Male,"H.No. 233, Dasgupta Street, Dehradun 016316",Kalaburagi,Middle Class
VIC-2024-KA-0211,Caleb Raj,41,Male,"H.No. 78, Bhakta Circle, Vasai-Virar 628623",Chikkamagaluru,Upper Middle Class
VIC-2024-KA-0212,Shaurya Vig,49,Male,"259, Ratta Zila, Raichur 751916",Belagavi,Upper Middle Class
VIC-2024-KA-0213,Ayushman Varughese,65,Female,"70, Mishra Chowk, Panipat-301274",Bengaluru Rural,Lower Class
VIC-2024-KA-0214,Sai Doshi,6,Female,"H.No. 771, Magar Chowk, Erode-915453",Davangere,Middle Class
VIC-2024-KA-0215,Bakhshi Jha,55,Male,"601, Choudhary Ganj, Karnal-077021",Mangaluru,Lower Class
VIC-2024-KA-0216,Ekalinga Johal,51,Male,"H.No. 956, Dhillon Circle, Satna 687994",Bengaluru Rural,Middle Class
VIC-2024-KA-0217,Bhavna Guha,22,Male,"97, Khurana Marg, Khora  907761",Hubballi-Dharwad,Upper Middle Class
VIC-2024-KA-0218,Fiyaz Warrior,71,Female,"814, Bala Road, Mau 902986",Shivamogga,Middle Class
